iter	Passed	Remaining
0	0	118
1	1	109
2	2	102
3	3	96
4	3	93
5	4	90
6	5	92
7	6	92
8	6	90
9	7	89
10	8	89
11	9	88
12	9	86
13	10	84
14	11	83
15	12	85
16	12	84
17	13	83
18	14	81
19	14	80
20	15	79
21	16	78
22	16	76
23	17	76
24	18	75
25	18	74
26	19	73
27	20	72
28	20	71
29	21	70
30	22	69
31	22	68
32	23	67
33	24	66
34	24	65
35	25	65
36	26	64
37	26	63
38	27	62
39	28	61
40	28	61
41	29	60
42	30	59
43	30	58
44	31	58
45	32	57
46	32	56
47	33	55
48	33	54
49	34	53
50	35	53
51	35	52
52	36	51
53	37	50
54	37	50
55	38	49
56	38	48
57	39	47
58	40	46
59	40	46
60	41	45
61	42	45
62	42	44
63	43	43
64	44	42
65	44	42
66	45	41
67	45	40
68	46	39
69	47	39
70	47	38
71	48	37
72	49	37
73	49	36
74	50	35
75	50	34
76	51	34
77	52	33
78	52	32
79	53	32
80	53	31
81	54	30
82	55	29
83	55	29
84	56	28
85	56	27
86	57	27
87	57	26
88	58	25
89	59	24
90	59	24
91	60	23
92	60	22
93	61	22
94	61	21
95	62	20
96	63	20
97	63	19
98	64	18
99	64	18
100	65	17
101	65	16
102	66	16
103	66	15
104	67	14
105	68	14
106	68	13
107	69	12
108	69	12
109	70	11
110	70	10
111	71	10
112	71	9
113	72	8
114	72	8
115	73	7
116	74	6
117	74	6
118	75	5
119	75	5
120	76	4
121	76	3
122	77	3
123	77	2
124	78	1
125	79	1
126	79	0
127	80	0
