iter	Passed	Remaining
0	0	824
1	1	755
2	2	730
3	2	710
4	3	732
5	4	738
6	5	736
7	5	734
8	6	729
9	7	723
10	8	723
11	8	719
12	9	712
13	10	707
14	10	707
15	11	704
16	12	699
17	12	697
18	13	696
19	14	694
20	14	692
21	15	689
22	16	690
23	16	689
24	17	688
25	18	685
26	18	683
27	19	682
28	20	681
29	21	679
30	21	676
31	22	675
32	23	676
33	23	674
34	24	674
35	25	673
36	25	673
37	26	672
38	27	671
39	27	670
40	28	670
41	29	669
42	30	668
43	30	666
44	31	666
45	32	665
46	32	663
47	33	665
48	34	665
49	35	665
50	35	664
51	36	664
52	37	663
53	37	662
54	38	662
55	39	662
56	40	662
57	40	661
58	41	660
59	42	660
60	42	659
61	43	658
62	44	657
63	44	657
64	45	657
65	46	658
66	47	658
67	48	659
68	49	661
69	49	662
70	50	663
71	51	662
72	52	662
73	52	662
74	53	661
75	54	661
76	55	660
77	55	659
78	56	659
79	57	659
80	58	658
81	58	658
82	59	655
83	60	655
84	60	655
85	61	654
86	62	653
87	63	653
88	63	652
89	64	653
90	65	653
91	66	652
92	66	650
93	67	648
94	67	647
95	68	645
96	69	643
97	69	643
98	70	643
99	71	642
100	72	641
101	72	639
102	73	638
103	73	636
104	74	635
105	75	634
106	75	633
107	76	633
108	77	633
109	78	632
110	78	630
111	79	628
112	79	627
113	80	625
114	81	624
115	81	622
116	82	621
117	82	619
118	83	618
119	84	617
120	84	615
121	85	613
122	85	612
123	86	610
124	87	609
125	87	608
126	88	606
127	88	605
128	89	604
129	90	603
130	90	602
131	91	601
132	91	599
133	92	598
134	93	597
135	93	596
136	94	595
137	95	594
138	95	593
139	96	592
140	97	591
141	97	588
142	98	587
143	98	586
144	99	585
145	99	584
146	100	583
147	101	582
148	101	581
149	102	581
150	103	580
151	103	580
152	104	579
153	105	578
154	105	577
155	106	576
156	107	575
157	107	574
158	108	575
159	109	574
160	109	572
161	110	571
162	111	570
163	111	569
164	112	567
165	112	567
166	113	566
167	114	566
168	116	570
169	116	570
170	117	569
171	118	568
172	118	567
173	119	567
174	120	567
175	121	567
176	122	567
177	122	566
178	123	565
179	124	565
180	124	564
181	125	563
182	126	562
183	127	563
184	127	563
185	128	562
186	129	561
187	129	560
188	130	561
189	131	560
190	133	564
191	134	565
192	135	565
193	135	564
194	136	563
195	137	562
196	137	562
197	138	561
198	139	563
199	140	563
200	141	562
201	142	562
202	143	561
203	143	560
204	144	560
205	145	560
206	146	559
207	146	558
208	147	557
209	148	557
210	148	556
211	149	555
212	150	554
213	150	554
214	151	553
215	152	552
216	153	552
217	153	551
218	154	550
219	154	549
220	155	548
221	156	547
222	156	546
223	157	546
224	158	545
225	159	544
226	159	544
227	160	543
228	161	542
229	161	541
230	162	540
231	163	539
232	163	538
233	164	539
234	165	538
235	166	537
236	166	536
237	167	535
238	167	534
239	168	534
240	169	533
241	169	532
242	170	531
243	171	530
244	172	530
245	172	529
246	173	528
247	173	527
248	174	526
249	175	525
250	175	524
251	176	524
252	177	523
253	177	522
254	178	521
255	179	520
256	179	519
257	180	518
258	181	517
259	181	516
260	182	516
261	182	515
262	183	514
263	184	513
264	184	512
265	185	512
266	186	511
267	186	510
268	187	509
269	188	508
270	188	507
271	189	507
272	190	506
273	190	505
274	191	504
275	192	504
276	192	503
277	193	502
278	193	501
279	194	500
280	195	499
281	196	499
282	196	498
283	197	497
284	198	496
285	198	495
286	199	494
287	199	494
288	200	493
289	201	492
290	201	491
291	202	491
292	203	490
293	203	489
294	204	488
295	204	487
296	205	486
297	206	485
298	206	484
299	207	484
300	208	483
301	208	482
302	209	481
303	210	481
304	210	480
305	211	479
306	211	478
307	212	477
308	213	476
309	213	475
310	214	475
311	215	474
312	215	473
313	216	472
314	216	471
315	217	470
316	218	470
317	218	469
318	219	468
319	220	467
320	220	466
321	221	465
322	221	465
323	222	464
324	223	463
325	223	462
326	224	461
327	224	460
328	225	460
329	226	459
330	226	458
331	227	457
332	228	456
333	228	456
334	229	455
335	229	454
336	230	453
337	231	452
338	231	451
339	232	451
340	232	450
341	233	449
342	234	448
343	234	447
344	235	446
345	236	446
346	236	445
347	237	444
348	237	443
349	238	442
350	238	441
351	239	441
352	240	440
353	240	439
354	241	438
355	242	438
356	242	437
357	243	436
358	244	435
359	244	435
360	245	434
361	246	433
362	246	433
363	247	432
364	248	431
365	248	430
366	249	429
367	249	429
368	250	428
369	251	427
370	251	426
371	252	426
372	253	425
373	253	425
374	254	424
375	255	423
376	255	422
377	256	421
378	256	421
379	257	420
380	258	419
381	258	418
382	259	418
383	260	417
384	260	416
385	261	415
386	261	414
387	262	413
388	263	413
389	263	412
390	264	411
391	265	411
392	265	410
393	266	409
394	266	408
395	267	407
396	267	407
397	268	406
398	269	405
399	269	404
400	270	404
401	271	403
402	271	402
403	272	402
404	273	401
405	273	400
406	274	399
407	274	398
408	275	398
409	276	397
410	276	396
411	277	396
412	278	395
413	278	394
414	279	393
415	279	393
416	280	392
417	281	391
418	281	390
419	282	389
420	283	389
421	283	388
422	284	387
423	284	387
424	285	386
425	286	385
426	286	384
427	287	383
428	287	383
429	288	382
430	289	381
431	289	381
432	290	380
433	291	379
434	291	378
435	292	377
436	292	377
437	293	376
438	293	375
439	294	374
440	295	374
441	295	373
442	296	372
443	297	372
444	297	371
445	298	370
446	298	369
447	299	369
448	300	368
449	300	367
450	301	366
451	302	366
452	302	365
453	303	364
454	303	363
455	304	363
456	305	362
457	305	361
458	306	360
459	306	360
460	307	359
461	308	358
462	308	358
463	309	357
464	309	356
465	310	355
466	311	355
467	311	354
468	312	353
469	313	352
470	313	352
471	314	351
472	314	350
473	315	350
474	316	349
475	316	348
476	317	348
477	318	347
478	318	346
479	319	346
480	320	345
481	321	345
482	321	344
483	322	343
484	322	342
485	323	342
486	324	341
487	324	340
488	325	340
489	326	339
490	326	338
491	327	338
492	328	337
493	328	336
494	329	336
495	330	335
496	330	334
497	331	333
498	331	333
499	332	332
500	333	331
501	333	331
502	334	330
503	335	329
504	335	329
505	336	328
506	336	327
507	337	326
508	338	326
509	338	325
510	339	325
511	340	324
512	340	323
513	341	322
514	342	322
515	342	321
516	343	320
517	343	319
518	344	319
519	345	318
520	345	317
521	346	317
522	346	316
523	347	315
524	348	314
525	348	314
526	349	313
527	350	312
528	350	312
529	351	311
530	352	311
531	352	310
532	353	309
533	353	308
534	354	308
535	355	307
536	355	306
537	356	305
538	356	305
539	357	304
540	358	303
541	358	303
542	359	302
543	360	301
544	360	301
545	361	300
